iter	Passed	Remaining
0	4	424
1	8	414
2	11	367
3	13	329
4	15	295
5	17	274
6	19	254
7	20	238
8	22	223
9	23	212
10	24	199
11	25	189
12	26	180
13	27	171
14	28	163
15	30	157
16	31	152
17	32	146
18	33	141
19	34	136
20	34	131
21	35	126
22	36	122
23	37	118
24	38	114
25	39	111
26	39	107
27	40	104
28	41	100
29	41	97
30	42	95
31	43	92
32	44	89
33	44	87
34	45	85
35	46	82
36	47	80
37	48	78
38	48	76
39	49	74
40	50	72
41	51	70
42	51	68
43	52	66
44	53	64
45	53	63
46	54	61
47	55	59
48	55	58
49	56	56
50	57	55
51	58	53
52	58	52
53	59	50
54	60	49
55	61	47
56	61	46
57	62	45
58	63	43
59	63	42
60	64	41
61	65	40
62	66	38
63	66	37
64	67	36
65	68	35
66	69	33
67	69	32
68	70	31
69	71	30
70	71	29
71	72	28
72	73	27
73	73	25
74	74	24
75	75	23
76	75	22
77	76	21
78	77	20
79	77	19
80	78	18
81	79	17
82	79	16
83	80	15
84	81	14
85	82	13
86	82	12
87	83	11
88	84	10
89	84	9
90	85	8
91	86	7
92	86	6
93	87	5
94	88	4
95	89	3
96	89	2
97	90	1
98	91	0
99	91	0
