iter	Passed	Remaining
0	198	198699
1	200	99979
2	201	66993
3	202	50467
4	204	40617
5	205	33993
6	206	29294
7	207	25773
8	208	23011
9	209	20785
10	210	18966
11	211	17441
12	212	16146
13	213	15041
14	214	14081
15	215	13235
16	216	12493
17	216	11836
18	217	11243
19	218	10712
20	219	10233
21	220	9809
22	222	9430
23	222	9068
24	223	8729
25	224	8416
26	225	8126
27	226	7856
28	227	7608
29	228	7372
30	228	7154
31	229	6948
32	230	6754
33	231	6572
34	232	6402
35	233	6242
36	234	6093
37	235	5952
38	236	5822
39	237	5708
40	238	5584
41	239	5467
42	240	5354
43	241	5247
44	242	5145
45	243	5044
46	244	4947
47	244	4855
48	245	4768
49	246	4684
50	247	4606
51	248	4527
52	249	4453
53	250	4384
54	251	4317
55	252	4253
56	253	4187
57	253	4123
58	254	4061
59	255	4001
60	256	3942
61	257	3888
62	257	3836
63	258	3784
64	259	3732
65	260	3684
66	261	3638
67	262	3595
68	263	3548
69	263	3504
70	264	3461
71	265	3423
72	266	3384
73	267	3346
74	268	3307
75	269	3270
76	269	3234
77	270	3198
78	271	3163
79	272	3129
80	272	3097
81	273	3065
82	274	3030
83	275	2999
84	275	2968
85	276	2939
86	277	2910
87	278	2882
88	278	2854
89	279	2827
90	280	2802
91	281	2778
92	282	2753
93	283	2728
94	283	2704
95	284	2681
96	285	2657
97	286	2634
98	287	2612
99	287	2590
100	288	2569
101	289	2549
102	290	2529
103	291	2508
104	291	2488
105	292	2469
106	293	2449
107	294	2430
108	295	2414
109	296	2398
110	297	2381
111	298	2362
112	298	2345
113	299	2327
114	300	2311
115	301	2294
116	301	2276
117	302	2261
118	303	2245
119	304	2229
120	304	2214
121	305	2197
122	306	2182
123	306	2167
124	307	2152
125	308	2138
126	308	2123
127	309	2109
128	310	2097
129	311	2086
130	312	2073
131	313	2060
132	314	2047
133	314	2034
134	315	2022
135	316	2010
136	317	1998
137	318	1986
138	318	1974
139	319	1962
140	320	1950
141	320	1937
142	321	1925
143	322	1914
144	322	1903
145	323	1892
146	324	1881
147	325	1871
148	326	1862
149	327	1853
150	327	1842
151	328	1832
152	329	1822
153	329	1812
154	330	1802
155	331	1793
156	332	1783
157	332	1774
158	333	1764
159	334	1755
160	334	1745
161	335	1737
162	336	1729
163	337	1720
164	338	1711
165	338	1703
166	339	1694
167	340	1687
168	341	1680
169	342	1673
170	343	1664
171	344	1656
172	344	1648
173	345	1641
174	346	1634
175	347	1626
176	348	1618
177	348	1611
178	349	1604
179	350	1597
180	351	1589
181	352	1582
182	352	1575
183	353	1569
184	354	1562
185	356	1558
186	357	1553
187	358	1546
188	358	1540
189	359	1533
190	360	1526
191	361	1519
192	361	1513
193	362	1506
194	363	1499
195	363	1493
196	364	1486
197	365	1479
198	366	1473
199	366	1467
200	367	1461
201	368	1455
202	369	1449
203	370	1443
204	371	1439
205	372	1435
206	373	1430
207	374	1424
208	374	1419
209	375	1413
210	376	1408
211	377	1403
212	378	1398
213	379	1393
214	380	1388
215	381	1383
216	381	1377
217	382	1372
218	383	1366
219	383	1361
220	384	1356
221	386	1354
222	388	1353
223	389	1348
224	390	1343
225	391	1339
226	391	1334
227	392	1329
228	393	1324
229	393	1318
230	394	1313
231	395	1309
232	396	1304
233	396	1299
234	397	1294
235	398	1290
236	399	1285
237	400	1281
238	401	1278
239	402	1274
240	403	1269
241	403	1265
242	404	1260
243	405	1256
244	406	1251
245	406	1246
246	407	1242
247	408	1237
248	408	1233
249	409	1229
250	410	1224
251	411	1220
252	411	1216
253	412	1212
254	413	1207
255	414	1204
256	415	1201
257	416	1198
258	417	1194
259	418	1190
260	419	1186
261	419	1182
262	420	1179
263	421	1175
264	422	1171
265	423	1167
266	423	1163
267	424	1159
268	425	1155
269	426	1151
270	426	1148
271	427	1144
272	428	1141
273	429	1138
274	431	1136
275	431	1132
276	432	1129
277	433	1126
278	434	1122
279	435	1119
280	436	1116
281	437	1113
282	438	1109
283	438	1106
284	439	1103
285	440	1100
286	441	1096
287	442	1093
288	443	1089
289	443	1087
290	445	1086
291	446	1083
292	448	1081
293	449	1078
294	449	1075
295	450	1071
296	451	1068
297	452	1065
298	452	1061
299	453	1058
300	454	1055
301	455	1051
302	455	1048
303	456	1045
304	457	1042
305	458	1040
306	459	1038
307	461	1035
308	461	1032
309	462	1029
310	463	1026
311	464	1023
312	464	1020
313	465	1017
314	466	1014
315	467	1011
316	468	1008
317	468	1005
318	469	1002
319	470	999
320	470	996
321	471	993
322	472	990
323	473	987
324	474	985
325	475	983
326	476	980
327	477	977
328	478	975
329	478	972
330	479	969
331	480	967
332	481	964
333	482	962
334	483	959
335	483	956
336	484	953
337	485	950
338	486	948
339	487	945
340	488	943
341	489	941
342	490	938
343	490	936
344	491	933
345	492	931
346	493	928
347	494	926
348	495	923
349	495	920
350	496	918
351	497	915
352	498	913
353	498	910
354	499	907
355	500	905
356	501	902
357	502	900
358	503	898
359	504	896
360	505	894
361	505	891
362	506	889
363	507	887
364	508	884
365	509	882
366	510	880
367	511	877
368	511	875
369	512	873
370	513	870
371	514	868
372	515	866
373	516	864
374	517	862
375	518	860
376	519	858
377	520	856
378	521	853
379	521	851
380	522	849
381	523	846
382	524	844
383	525	842
384	525	840
385	526	838
386	527	835
387	528	833
388	529	831
389	530	829
390	530	826
391	531	824
392	532	822
393	533	820
394	534	818
395	535	816
396	536	814
397	536	812
398	537	809
399	538	807
400	539	805
401	540	803
402	541	801
403	541	799
404	542	797
405	543	795
406	544	793
407	545	790
408	545	788
409	546	786
410	547	785
411	548	783
412	549	781
413	550	779
414	551	777
415	552	774
416	552	772
417	553	770
418	554	768
419	555	766
420	556	764
421	557	763
422	557	760
423	558	758
424	559	757
425	560	755
426	561	752
427	562	751
428	563	749
429	564	747
430	565	746
431	566	744
432	566	742
433	567	740
434	568	738
435	569	737
436	570	735
437	571	733
438	572	731
439	573	729
440	574	727
441	574	725
442	575	724
443	577	722
444	578	721
445	579	719
446	580	718
447	582	717
448	583	715
449	583	713
450	584	711
451	585	709
452	586	707
453	587	705
454	587	704
455	588	702
456	589	700
457	590	698
458	591	696
459	592	695
460	593	693
461	594	692
462	595	690
463	596	688
464	597	687
465	598	685
466	598	683
467	599	681
468	600	679
469	601	678
470	602	676
471	602	674
472	603	672
473	604	670
474	605	668
475	605	666
476	606	665
477	608	664
478	609	662
479	609	660
480	610	659
481	611	657
482	612	655
483	613	653
484	613	651
485	614	650
486	615	648
487	616	646
488	616	644
489	617	642
490	618	641
491	619	639
492	619	637
493	620	635
494	621	634
495	622	632
496	623	630
497	624	629
498	624	627
499	626	626
500	627	624
501	627	622
502	628	621
503	629	619
504	630	617
505	630	615
506	631	613
507	632	612
508	632	610
509	633	608
510	634	606
511	634	605
512	635	603
513	636	601
514	637	600
515	638	599
516	639	597
517	640	595
518	641	594
519	642	592
520	642	591
521	643	589
522	644	587
523	645	586
524	646	584
525	646	583
526	647	581
527	648	579
528	649	578
529	650	576
530	651	575
531	653	574
532	654	573
533	656	572
534	657	571
535	658	569
536	659	568
537	660	567
538	661	565
539	662	564
540	663	562
541	664	561
542	665	560
543	667	559
544	669	558
545	669	557
546	670	555
547	671	553
548	672	552
549	673	550
550	673	549
551	674	547
552	675	546
553	676	544
554	677	542
555	677	541
556	678	539
557	679	538
558	680	536
559	681	535
560	682	534
561	683	532
562	684	531
563	685	529
564	686	528
565	686	526
566	687	525
567	688	523
568	688	521
569	689	520
570	690	518
571	690	517
572	691	515
573	692	513
574	693	512
575	693	510
576	694	509
577	695	507
578	696	506
579	697	505
580	698	503
581	699	502
582	699	500
583	700	499
584	701	497
585	701	495
586	702	494
587	703	492
588	703	491
589	704	489
590	705	488
591	705	486
592	706	485
593	707	483
594	708	481
595	708	480
596	709	478
597	710	477
598	711	476
599	712	474
600	713	473
601	714	472
602	714	470
603	715	469
604	716	467
605	717	466
606	718	464
607	718	463
608	719	461
609	720	460
610	720	458
611	721	457
612	722	455
613	722	454
614	723	453
615	724	451
616	725	450
617	725	448
618	726	447
619	728	446
620	729	444
621	729	443
622	730	442
623	731	440
624	731	439
625	732	437
626	733	436
627	733	434
628	734	433
629	735	431
630	736	430
631	736	428
632	737	427
633	738	426
634	738	424
635	739	423
636	740	421
637	741	420
638	742	419
639	743	418
640	743	416
641	744	415
642	745	413
643	745	412
644	746	410
645	747	409
646	748	408
647	748	406
648	749	405
649	750	403
650	750	402
651	751	401
652	752	399
653	753	398
654	753	397
655	754	395
656	755	394
657	756	393
658	757	392
659	758	390
660	759	389
661	760	388
662	760	386
663	761	385
664	762	384
665	762	382
666	763	381
667	764	379
668	765	378
669	765	377
670	766	375
671	767	374
672	767	373
673	768	371
674	769	370
675	769	368
676	770	367
677	771	366
678	772	365
679	773	363
680	774	362
681	774	361
682	775	359
683	776	358
684	776	357
685	777	355
686	778	354
687	778	353
688	779	351
689	780	350
690	781	349
691	781	347
692	782	346
693	783	345
694	783	343
695	784	342
696	785	341
697	786	340
698	786	338
699	787	337
700	788	336
701	789	335
702	789	333
703	790	332
704	791	331
705	792	329
706	792	328
707	793	327
708	794	325
709	794	324
710	795	323
711	796	322
712	796	320
713	797	319
714	798	318
715	799	316
716	799	315
717	800	314
718	801	313
719	802	312
720	803	310
721	804	309
722	804	308
723	805	307
724	806	305
725	806	304
726	807	303
727	808	301
728	808	300
729	809	299
730	810	298
731	811	296
732	811	295
733	812	294
734	813	293
735	813	291
736	814	290
737	815	289
738	816	288
739	816	287
740	817	285
741	818	284
742	819	283
